fecha_calculo,ticker,nombre,sector,region,fecha_entrada,per,ev_ebit,roic,puntuacion,precio_entrada,precio_actual,retorno_total,max_drawdown,dias_en_seguimiento,error_descarga
2026-09-01T11:51:29.689073+00:00,4503.T,Astellas Pharma Inc.,Healthcare,Japon,2026-09-01 11:51:25.259445+00:00,14.84978343578644,11.785231145198242,0.1276328756666932,17.0,,,,,,
2026-09-01T11:51:29.689073+00:00,5108.T,Bridgestone Corporation,Consumer Cyclical,Japon,2026-09-01 11:51:25.259445+00:00,12.352098393037087,10.145412131838135,0.1016717495926479,15.0,,,,,,
2026-09-01T11:51:29.689073+00:00,B,Barrick Mining Corporation,Basic Materials,Norteamerica,2026-09-01 11:51:25.259445+00:00,11.304580961544357,5.7633739883600414,0.3172170799363226,3.0,,,,,,
2026-09-01T11:51:29.689073+00:00,FCG.NZ,Fonterra Co-operative Group Limited,Consumer Defensive,AsiaPacifico,2026-09-01 11:51:25.259445+00:00,10.25952768,8.61942745155393,0.1039145816987766,13.0,,,,,,
2026-09-01T11:51:29.689073+00:00,IAG.MC,International Consolidated Airlines Group S.A.,Industrials,Europa,2026-09-01 11:51:25.259445+00:00,7.054504556929083,5.617901504467913,0.1597800798373864,7.0,,,,,,
2026-09-01T11:51:29.689073+00:00,JBH.AX,JB Hi-Fi Limited,Consumer Cyclical,AsiaPacifico,2026-09-01 11:51:25.259445+00:00,14.856834325372525,11.065542310756973,0.2103019438728858,12.0,,,,,,
2026-09-01T11:51:29.689073+00:00,NOS.LS,"NOS, S.G.P.S., S.A.",Communication Services,Europa,2026-08-29 10:35:00.155535+00:00,9.532224919280658,11.821360014565622,0.1206850300930109,2.0,5.03000020980835,4.958000183105469,-0.014314120019812915,-0.014314120019812915,1.0,
2026-09-01T11:51:29.689073+00:00,ORK.OL,Orkla ASA,Consumer Defensive,Europa,2026-09-01 11:51:25.259445+00:00,13.482014046948358,11.44991477452668,0.1184525970871221,17.0,,,,,,
2026-09-01T11:51:29.689073+00:00,PNDORA.CO,Pandora A/S,Consumer Cyclical,Europa,2026-09-01 11:51:25.259445+00:00,12.602184639118455,10.202479970611387,0.2917331322012146,7.0,,,,,,
2026-09-01T11:51:29.689073+00:00,TEL2-B.ST,Tele2 AB (publ),Communication Services,Europa,2026-09-01 11:51:25.259445+00:00,11.599459727110936,11.868000624593364,0.211680069843599,15.0,,,,,,
2026-09-01T11:51:29.689073+00:00,WKL.AS,Wolters Kluwer N.V.,Industrials,Europa,2026-09-01 11:51:25.259445+00:00,11.816301602446485,11.01739665685164,0.2469685008052921,9.0,,,,,,
2026-09-02T11:16:51.363149+00:00,4503.T,Astellas Pharma Inc.,Healthcare,Japon,2026-09-02 11:16:47.021848+00:00,14.696027237456908,11.67048833041604,0.1276328756666932,16.0,,,,,,
2026-09-02T11:16:51.363149+00:00,5108.T,Bridgestone Corporation,Consumer Cyclical,Japon,2026-09-02 11:16:47.021848+00:00,12.150480327283688,9.982949933356082,0.1016717495926479,15.0,,,,,,
2026-09-02T11:16:51.363149+00:00,B,Barrick Mining Corporation,Basic Materials,Norteamerica,2026-09-02 11:16:47.021848+00:00,10.868334056074769,5.536364217810731,0.3172170799363226,2.0,,,,,,
2026-09-02T11:16:51.363149+00:00,FCG.NZ,Fonterra Co-operative Group Limited,Consumer Defensive,AsiaPacifico,2026-09-02 11:16:47.021848+00:00,10.500156509090909,8.78072648385131,0.1039145816987766,13.0,,,,,,
2026-09-02T11:16:51.363149+00:00,IAG.MC,International Consolidated Airlines Group S.A.,Industrials,Europa,2026-09-02 11:16:47.021848+00:00,7.0032299388419,5.5858913143785545,0.1597800798373864,8.0,,,,,,
2026-09-02T11:16:51.363149+00:00,JBH.AX,JB Hi-Fi Limited,Consumer Cyclical,AsiaPacifico,2026-09-02 11:16:47.021848+00:00,14.80773604409063,11.031317427433123,0.2103019438728858,12.0,,,,,,
2026-09-02T11:16:51.363149+00:00,NOS.LS,"NOS, S.G.P.S., S.A.",Communication Services,Europa,2026-08-29 10:35:00.155535+00:00,9.532224919280658,11.821360014565622,0.1206850300930109,2.0,5.03000020980835,4.960000038146973,-0.013916534541068004,-0.013916534541068004,2.0,
2026-09-02T11:16:51.363149+00:00,ORK.OL,Orkla ASA,Consumer Defensive,Europa,2026-09-02 11:16:47.021848+00:00,13.23509062910798,11.268865934595524,0.1184525970871221,17.0,,,,,,
2026-09-02T11:16:51.363149+00:00,PNDORA.CO,Pandora A/S,Consumer Cyclical,Europa,2026-09-02 11:16:47.021848+00:00,12.466771620621802,10.112192780897402,0.2917331322012146,7.0,,,,,,
2026-09-02T11:16:51.363149+00:00,TEL2-B.ST,Tele2 AB (publ),Communication Services,Europa,2026-09-02 11:16:47.021848+00:00,11.596017369982205,11.865169134677943,0.211680069843599,15.0,,,,,,
2026-09-02T11:16:51.363149+00:00,WKL.AS,Wolters Kluwer N.V.,Industrials,Europa,2026-09-02 11:16:47.021848+00:00,11.40426373088685,10.71221798414496,0.2469685008052921,9.0,,,,,,
